airport_ident,has_navaid,navaid_count,navaid_count_bucket,navaid_type_group,dominant_usage_type,max_power
02UT,Y,1,1,Radio Nav,BOTH,HIGH
06FA,Y,1,1,NDB Family,TERMINAL,LOW
0L5,Y,1,1,Radio Nav,LO,MEDIUM
0LS3,Y,1,1,Radio Nav,BOTH,HIGH
0LS6,Y,1,1,NDB Family,LO,LOW
0XS8,Y,1,1,NDB Family,LO,LOW
12OH,Y,1,1,NDB Family,TERMINAL,LOW
15G,Y,1,1,Radio Nav,LO,MEDIUM
1CD4,Y,1,1,NDB Family,TERMINAL,MEDIUM
1L4,Y,1,1,Radio Nav,LO,MEDIUM
1O6,Y,1,1,Radio Nav,LO,MEDIUM
1TX3,Y,1,1,Radio Nav,LO,MEDIUM
1TX9,Y,1,1,NDB Family,TERMINAL,LOW
2FD0,Y,1,1,NDB Family,TERMINAL,LOW
2K2,Y,1,1,Radio Nav,LO,MEDIUM
3IL1,Y,1,1,NDB Family,LO,LOW
3T0,Y,1,1,NDB Family,TERMINAL,LOW
48Y,Y,1,1,NDB Family,TERMINAL,LOW
4CO3,Y,1,1,NDB Family,TERMINAL,LOW
4G7,Y,1,1,Radio Nav,BOTH,MEDIUM
54TS,Y,1,1,NDB Family,LO,LOW
59OH,Y,1,1,NDB Family,TERMINAL,LOW
5CL0,Y,1,1,Radio Nav,BOTH,MEDIUM
5K3,Y,1,1,Radio Nav,BOTH,HIGH
5P5,Y,1,1,Radio Nav,LO,MEDIUM
64TE,Y,1,1,Radio Nav,BOTH,HIGH
67FL,Y,1,1,NDB Family,LO,LOW
6CO6,Y,1,1,Radio Nav,BOTH,HIGH
76TE,Y,1,1,Radio Nav,LO,MEDIUM
80V,Y,1,1,Radio Nav,BOTH,MEDIUM
8A7,Y,1,1,NDB Family,TERMINAL,LOW
8CO4,Y,1,1,Radio Nav,BOTH,HIGH
9OI8,Y,1,1,Radio Nav,LO,MEDIUM
9TA8,Y,1,1,NDB Family,TERMINAL,LOW
AGGH,Y,2,2-3,Mixed,BOTH,HIGH
ANYN,Y,2,2-3,Mixed,BOTH,HIGH
AR-0743,Y,2,2-3,Mixed,BOTH,HIGH
AYBK,Y,1,1,NDB Family,BOTH,LOW
AYDU,Y,1,1,NDB Family,BOTH,LOW
AYGA,Y,1,1,NDB Family,BOTH,LOW
AYGN,Y,2,2-3,Mixed,BOTH,HIGH
AYGR,Y,1,1,NDB Family,BOTH,LOW
AYHK,Y,1,1,NDB Family,BOTH,LOW
AYKI,Y,1,1,NDB Family,BOTH,LOW
AYKK,Y,1,1,NDB Family,BOTH,LOW
