navaid_id,filename,ident,navaid_name,navaid_type,iso_country,usage_type,power,associated_airport
85050,Williams_Harbour_NDB_CA,1A,Williams Harbour,NDB,CA,LO,MEDIUM,CCA6
85051,Sable_Island_NDB_CA,1B,Sable Island,NDB,CA,LO,MEDIUM,
85052,Nanaimo_DME_CA,1CD,Nanaimo,DME,CA,LO,LOW,CYCD
85053,Charlottetown_NDB_CA,1D,Charlottetown,NDB,CA,LO,LOW,CCH4
85054,Black_Tickle_NDB_CA,1E,Black Tickle,NDB,CA,LO,LOW,CCE4
85055,Manta_NDB_CA,1F,Manta,NDB,CA,LO,MEDIUM,CZBF
85056,Zama_Lake_NDB_CA,1K,Zama Lake,NDB,CA,LO,MEDIUM,CA-1043
85057,North_Of_Sixty_NDB_CA,1S,North Of Sixty,NDB,CA,LO,LOW,CKV4
85058,Lloydminster_DME_CA,1T,Lloydminster,DME,CA,BOTH,LOW,CYLL
85059,Masset_NDB_CA,1U,Masset,NDB,CA,LO,MEDIUM,CZMT
85060,Sandy_Bay_NDB_CA,1W,Sandy Bay,NDB,CA,LO,MEDIUM,CJY4
85061,South_Indian_Lake_NDB_CA,2A,South Indian Lake,NDB,CA,LO,LOW,CZSN
85062,Springdale_NDB_CA,2B,Springdale,NDB,CA,LO,MEDIUM,CCD2
85063,Bathurst_DME_CA,2F,Bathurst,DME,CA,BOTH,LOW,CZBF
85064,Lebel-sur-Quevillon_NDB_CA,2H,Lebel-sur-Quevillon,NDB,CA,BOTH,LOW,CSH4
85065,Grand_Forks_NDB-DME_CA,2J,Grand Forks,NDB-DME,CA,LO,LOW,CZGF
85066,Camrose_NDB_CA,2K,Camrose,NDB,CA,LO,MEDIUM,CEQ3
85067,Camrose_DME_CA,2K,Camrose,DME,CA,LO,LOW,CEQ3
85068,Opapimiskan_Lake_NDB_CA,2M,Opapimiskan Lake,NDB,CA,LO,MEDIUM,CKM8
85069,Mont-Laurier_NDB_CA,2Q,Mont-Laurier,NDB,CA,LO,LOW,CSD4
85070,High_Prairie_NDB-DME_CA,2S,High Prairie,NDB-DME,CA,BOTH,LOW,CZHP
85071,Pokemouche_NDB_CA,2T,Pokemouche,NDB,CA,LO,MEDIUM,CDA4
85072,Mackenzie_Bc_NDB-DME_CA,2U,Mackenzie Bc,NDB-DME,CA,LO,LOW,CYZY
85073,Diavik_NDB_CA,2Z,Diavik,NDB,CA,LO,LOW,CDK2
85074,Diavik_DME_CA,2Z,Diavik,DME,CA,LO,LOW,CDK2
85076,Cumberland_House_NDB_CA,3D,Cumberland House,NDB,CA,LO,MEDIUM,CJT4
85077,Ile-A-La-Crosse_NDB_CA,3F,Ile-A-La-Crosse,NDB,CA,LO,MEDIUM,CJF3
85078,Consort_NDB_CA,3H,Consort,NDB,CA,LO,MEDIUM,CFG3
85079,Mobil_Sierra_NDB_CA,3I,Mobil Sierra,NDB,CA,LO,MEDIUM,
85080,Drayton_Valley_Industrial_NDB-DME_CA,3M,Drayton Valley Industrial,NDB-DME,CA,LO,LOW,CER3
85081,Weyburn_NDB_CA,3N,Weyburn,NDB,CA,LO,MEDIUM,CJE3
85082,Muddy_Lake_NDB_CA,3P,Muddy Lake,NDB,CA,LO,MEDIUM,
85083,Postville_NDB_CA,3R,Postville,NDB,CA,LO,MEDIUM,CCD4
85085,Cluff_Lake_NDB_CA,3X,Cluff Lake,NDB,CA,LO,MEDIUM,CJS3
85086,Donnelly_NDB-DME_CA,3Y,Donnelly,NDB-DME,CA,LO,LOW,CFM4
85087,Russell_NDB_CA,3Z,Russell,NDB,CA,LO,LOW,CJW5
85088,Taber_NDB-DME_CA,3Z,Taber,NDB-DME,CA,LO,LOW,CED5
85089,Koala_NDB-DME_CA,4A,Koala,NDB-DME,CA,TERMINAL,MEDIUM,CYOA
85090,Little_Grand_Rapids_NDB_CA,4B,Little Grand Rapids,NDB,CA,LO,MEDIUM,CZGR
85091,Helmet_NDB_CA,4D,Helmet,NDB,CA,LO,MEDIUM,CBH2
85092,Cross_Lake_NDB_CA,4G,Cross Lake,NDB,CA,LO,MEDIUM,CYCR
85093,Points_North_Landing_NDB_CA,4H,Points North Landing,NDB,CA,LO,MEDIUM,CYNL
85094,Knee_Lake_NDB_CA,4J,Knee Lake,NDB,CA,LO,LOW,CJT3
85095,St_Theresa_Point_NDB_CA,4K,St Theresa Point,NDB,CA,LO,LOW,CYST
85096,Chatham_NDB_CA,4L,Chatham,NDB,CA,LO,LOW,CYCK
85097,Red_Sucker_Lake_NDB_CA,4M,Red Sucker Lake,NDB,CA,LO,LOW,CYRS
85098,Oxford_House_NDB_CA,4N,Oxford House,NDB,CA,LO,MEDIUM,CYOH
85099,Swan_Hills_NDB_CA,4O,Swan Hills,NDB,CA,LO,MEDIUM,CEM5
85100,Brochet_NDB_CA,4Q,Brochet,NDB,CA,LO,MEDIUM,CYBT
85101,Shamattawa_NDB_CA,4T,Shamattawa,NDB,CA,LO,LOW,CZTM
85102,Lac_Brochet_NDB_CA,4V,Lac Brochet,NDB,CA,LO,LOW,CZWH
85103,Kelsey_NDB_CA,4W,Kelsey,NDB,CA,LO,LOW,CZEE
85104,Lac_Du_Bonnet_NDB_CA,4X,Lac Du Bonnet,NDB,CA,LO,MEDIUM,CYAX
85105,Key_Lake_NDB_CA,4Y,Key Lake,NDB,CA,LO,MEDIUM,CYKJ
