airport_key,airport_ident,airport_name,departure_airport_code,airport_type,municipality,scheduled_service,region_code,country_code,has_navaid,navaid_count,navaid_count_bucket,navaid_type_group,dominant_usage_type,max_power
0,UNKNOWN,Unknown Airport,,Unknown,Unknown,unknown,UNKNOWN,UNKNOWN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
1,PACX,Coldfoot Airport,CXF,small_airport,Coldfoot,no,US-AK,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
2,CYCO,Kugluktuk Airport,YCO,small_airport,Kugluktuk,yes,CA-NU,CA,Y,1,1,NDB Family,BOTH,MEDIUM
3,LFLS,Grenoble Alpes Isère Airport,GNB,medium_airport,Grenoble,yes,FR-ARA,FR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
4,CYND,Ottawa / Gatineau Airport,YND,medium_airport,Gatineau,yes,CA-QC,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
5,KSEE,Gillespie Field,SEE,small_airport,San Diego/El Cajon,no,US-CA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
6,SBLE,Coronel Horácio de Mattos Airport,LEC,small_airport,Lençóis,yes,BR-BA,BR,Y,1,1,NDB Family,TERMINAL,MEDIUM
7,UNKNOWN,Duxford Aerodrome,QFO,Unknown,Unknown,unknown,UNKNOWN,GB,N,0,0,No Navaid,UNKNOWN,UNKNOWN
8,SBSN,Santarém - Maestro Wilson Fonseca International Airport,STM,medium_airport,Santarém,yes,BR-PA,BR,Y,2,2-3,Mixed,BOTH,MEDIUM
9,LIPZ,Venice Marco Polo Airport,VCE,large_airport,Venezia (VE),yes,IT-34,IT,Y,2,2-3,Mixed,BOTH,HIGH
10,CYVG,Vermilion Airport,YVG,small_airport,Vermilion,no,CA-AB,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
11,MMCG,Aeropuerto Municipal de Nuevo Casas Grandes,NCG,small_airport,Nuevo Casas Grandes,no,MX-CHH,MX,N,0,0,No Navaid,UNKNOWN,UNKNOWN
12,MPSA,Ruben Cantu Airport,SYP,medium_airport,Santiago,no,PA-9,PA,Y,1,1,Radio Nav,BOTH,HIGH
13,OPLL,Loralai Airport,LRG,small_airport,Loralai,no,PK-BA,PK,N,0,0,No Navaid,UNKNOWN,UNKNOWN
14,YCUA,Cudal Airport,CUG,small_airport,Unknown,no,AU-NSW,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
15,KFAM,Farmington Regional Airport,FAM,small_airport,Farmington,no,US-MO,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
16,FAOH,Oudtshoorn Airport,OUH,medium_airport,Oudtshoorn,no,ZA-WC,ZA,Y,1,1,NDB Family,BOTH,MEDIUM
17,UNKNOWN,Zaraza Airport,ZRZ,Unknown,Unknown,unknown,UNKNOWN,VE,N,0,0,No Navaid,UNKNOWN,UNKNOWN
18,ZHES,Enshi Xujiaping Airport,ENH,medium_airport,Enshi (Enshi),yes,CN-42,CN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
19,CYTH,Thompson Airport,YTH,medium_airport,Thompson,yes,CA-MB,CA,Y,4,4+,Mixed,LO,HIGH
20,ZGKL,Guilin Liangjiang International Airport,KWL,large_airport,Guilin (Lingui),yes,CN-45,CN,Y,1,1,Radio Nav,BOTH,HIGH
21,0CO2,Crested Butte Airpark,CSE,small_airport,Crested Butte,no,US-CO,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
22,CYIF,St Augustin Airport,YIF,medium_airport,St-Augustin,yes,CA-QC,CA,Y,2,2-3,Mixed,BOTH,MEDIUM
23,FMNG,Port Bergé Airport,WPB,small_airport,Port Bergé,no,MG-M,MG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
24,SKHC,Hato Corozal Airport,HTZ,small_airport,Hato Corozal,no,CO-CAS,CO,N,0,0,No Navaid,UNKNOWN,UNKNOWN
25,KEKM,Elkhart Municipal Airport,EKI,small_airport,Elkhart,no,US-IN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
26,GQNH,Timbedra Airport,TMD,small_airport,Timbedra,no,MR-01,MR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
27,VYBG,Bagan Airport,NYU,small_airport,Nyaung U,yes,MM-04,MM,Y,1,1,NDB Family,BOTH,MEDIUM
28,PABR,Wiley Post Will Rogers Memorial Airport,BRW,medium_airport,Utqiaġvik,yes,US-AK,US,Y,3,2-3,Mixed,BOTH,HIGH
29,FCOG,Gamboma Airport,GMM,small_airport,Gamboma,no,CG-14,CG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
30,FLKY,Kasaba Bay Airport,ZKB,small_airport,Kasaba Bay,no,ZM-05,ZM,N,0,0,No Navaid,UNKNOWN,UNKNOWN
31,NSFA,Faleolo International Airport,APW,large_airport,Apia,yes,WS-AA,WS,Y,2,2-3,Mixed,BOTH,HIGH
32,YGE,Gorge Harbour Seaplane Base,YGE,seaplane_base,Gorge Harbour,no,CA-BC,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
33,UNKNOWN,Nesson Airport,HLU,Unknown,Unknown,unknown,UNKNOWN,NC,N,0,0,No Navaid,UNKNOWN,UNKNOWN
34,FGSL,Malabo International Airport,SSG,large_airport,Malabo,yes,GQ-BN,GQ,Y,3,2-3,Mixed,BOTH,HIGH
35,UNKNOWN,Zahn's Airport,AYZ,Unknown,Unknown,unknown,UNKNOWN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
36,AYGX,Gora Airstrip,GOC,small_airport,Gora,no,PG-NPP,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
37,CYBL,Campbell River Airport,YBL,medium_airport,Campbell River,yes,CA-BC,CA,Y,2,2-3,Mixed,BOTH,LOW
38,MJJ,Moki Airport,MJJ,small_airport,Moki,no,PG-MPM,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
39,YBNS,Bairnsdale Airport,BSJ,medium_airport,Bairnsdale,no,AU-VIC,AU,Y,1,1,NDB Family,BOTH,LOW
40,MYCI,Colonel Hill Airport,CRI,medium_airport,Colonel Hill,yes,BS-CK,BS,N,0,0,No Navaid,UNKNOWN,UNKNOWN
41,YMIN,Minlaton Airport,XML,small_airport,Unknown,no,AU-SA,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
42,KCVG,Cincinnati Northern Kentucky International Airport,CVG,large_airport,Cincinnati / Covington,yes,US-KY,US,Y,1,1,NDB Family,TERMINAL,LOW
43,WAPD,Rar Gwamar Airport,DOB,small_airport,Dobo-Warmar Island,no,ID-MA,ID,Y,1,1,NDB Family,BOTH,MEDIUM
44,KSAW,Marquette/Sawyer International Airport,MQT,large_airport,Gwinn,yes,US-MI,US,Y,2,2-3,Mixed,BOTH,HIGH
45,UERR,Mirny Airport,MJZ,medium_airport,Mirny,yes,RU-SA,RU,Y,3,2-3,Mixed,TERMINAL,MEDIUM
46,KSVE,Susanville Municipal Airport,SVE,small_airport,Susanville,no,US-CA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
47,KICT,Wichita Dwight D. Eisenhower National Airport,ICT,large_airport,Wichita,yes,US-KS,US,Y,2,2-3,Mixed,TERMINAL,HIGH
48,AYKV,Kavieng Airport,KVG,medium_airport,Kavieng,yes,PG-NIK,PG,Y,2,2-3,Mixed,BOTH,HIGH
49,SNAL,Arapiraca Airport,APQ,small_airport,Arapiraca,no,BR-AL,BR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
50,YPLC,Port Lincoln Airport,PLO,medium_airport,Port Lincoln,yes,AU-SA,AU,Y,1,1,NDB Family,BOTH,MEDIUM
51,SLRB,Roboré Airport,RBO,small_airport,Roboré,no,BO-S,BO,Y,1,1,NDB Family,LO,MEDIUM
52,CYGP,Michel-Pouliot Gaspé Airport,YGP,medium_airport,Gaspé,yes,CA-QC,CA,Y,2,2-3,Mixed,LO,HIGH
53,W55,Kenmore Air Harbor Seaplane Base,LKE,seaplane_base,Seattle,yes,US-WA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
54,AU-DYM,Diamantina Lakes Airport,DYM,small_airport,Diamantina Lakes,no,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
55,ZSJU,Quzhou Airport,JUZ,medium_airport,Quzhou (Kezheng),yes,CN-33,CN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
56,KTYS,McGhee Tyson Airport,TYS,large_airport,Knoxville/Maryville,yes,US-TN,US,Y,2,2-3,Mixed,LO,HIGH
57,HKMK,Mulika Lodge Airport,JJM,small_airport,Meru-Kinna,yes,KE-400,KE,N,0,0,No Navaid,UNKNOWN,UNKNOWN
58,YBAU,Badu Island Airport,BDD,small_airport,Badu Island,yes,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
59,VYPT,Putao Airport,PBU,medium_airport,Putao,yes,MM-11,MM,Y,1,1,NDB Family,BOTH,HIGH
60,DFCC,Ouahigouya Airport,OUG,small_airport,Ouahigouya,no,BF-YAT,BF,N,0,0,No Navaid,UNKNOWN,UNKNOWN
61,CAL9,Tahsis Seaplane Base,ZTS,seaplane_base,Tahsis,no,CA-BC,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
62,KAEL,Albert Lea Municipal Airport,AEL,small_airport,Albert Lea,no,US-MN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
63,PAWM,White Mountain Airport,WMO,small_airport,White Mountain,yes,US-AK,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
64,KRSW,Southwest Florida International Airport,RSW,large_airport,Fort Myers,yes,US-FL,US,Y,1,1,NDB Family,TERMINAL,LOW
65,YSGW,South Galway Airport,ZGL,small_airport,Unknown,no,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
66,AYDO,Doini Airport,DOI,small_airport,Castori Islets,no,PG-MBA,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
67,ZSNJ,Nanjing Lukou International Airport,NKG,large_airport,Nanjing,yes,CN-32,CN,Y,4,4+,Mixed,BOTH,HIGH
68,MGTK,Mundo Maya International Airport,FRS,large_airport,San Benito,yes,GT-PE,GT,Y,1,1,Radio Nav,BOTH,HIGH
69,RCFG,Matsu Nangan Airport,LZN,medium_airport,Matsu (Nangan),yes,TW-X-LK,TW,N,0,0,No Navaid,UNKNOWN,UNKNOWN
70,VEBS,Biju Patnaik International Airport,BBI,large_airport,Bhubaneswar,yes,IN-OR,IN,Y,2,2-3,Mixed,BOTH,HIGH
71,GQNT,Tamchakett Airport,THT,small_airport,Tamchakett,no,MR-02,MR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
72,ID-0324,Yuruf Airport [UNUSABLE],RUF,small_airport,Amgotro,no,ID-PA,ID,N,0,0,No Navaid,UNKNOWN,UNKNOWN
73,UNKNOWN,Monte Carmelo Airport,0,Unknown,Unknown,unknown,UNKNOWN,BR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
74,ENVD,Vadsø Airport,VDS,medium_airport,Vadsø,yes,NO-56,NO,Y,1,1,NDB Family,TERMINAL,LOW
75,WASF,Fakfak Airport,FKQ,medium_airport,Fakfak,yes,ID-PB,ID,Y,1,1,NDB Family,BOTH,MEDIUM
76,MRIA,Islita Airport,PBP,small_airport,Nandayure,no,CR-G,CR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
77,LPPD,João Paulo II Airport,PDL,large_airport,Ponta Delgada,yes,PT-20,PT,Y,3,2-3,Mixed,BOTH,HIGH
78,VCCB,Batticaloa International Airport,BTC,medium_airport,Batticaloa,yes,LK-5,LK,Y,1,1,NDB Family,BOTH,MEDIUM
79,KMBY,Omar N Bradley Airport,MBY,small_airport,Moberly,no,US-MO,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
80,PHLI,Lihue Airport,LIH,large_airport,"Lihue, Kauai",yes,US-HI,US,Y,1,1,Radio Nav,BOTH,HIGH
81,KSUS,Spirit of St Louis Airport,SUS,medium_airport,St Louis,no,US-MO,US,Y,3,2-3,Mixed,TERMINAL,MEDIUM
82,NTTX,Moruroa Airport,UOA,small_airport,Moruroa Atoll,no,PF-U-A,PF,N,0,0,No Navaid,UNKNOWN,UNKNOWN
83,KDEN,Denver International Airport,DEN,large_airport,Denver,yes,US-CO,US,Y,1,1,Radio Nav,BOTH,HIGH
84,DFER,Arly Airport,ARL,small_airport,Arly,no,BF-TAP,BF,N,0,0,No Navaid,UNKNOWN,UNKNOWN
85,KSGF,Springfield Branson National Airport,SGF,large_airport,Springfield,yes,US-MO,US,Y,2,2-3,NDB Family,TERMINAL,MEDIUM
86,MZ-0005,Paradise Island Airport,NTC,small_airport,Santa Carolina,no,MZ-I,MZ,N,0,0,No Navaid,UNKNOWN,UNKNOWN
87,CAD5,Merritt Airport,YMB,small_airport,Merritt,no,CA-BC,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
88,KNRS,Naval Outlying Field Imperial Beach (Ream Field),NRS,small_airport,Imperial Beach,no,US-CA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
89,DATG,In Guezzam Airport,INF,small_airport,In Guezzam,no,DZ-58,DZ,Y,2,2-3,Mixed,BOTH,HIGH
90,UEEA,Aldan Airport,ADH,small_airport,Aldan,no,RU-SA,RU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
91,VNBJ,Bhojpur Airport,BHP,small_airport,Bhojpur,no,NP-P1,NP,N,0,0,No Navaid,UNKNOWN,UNKNOWN
92,LBGO,Gorna Oryahovitsa Airport,GOZ,medium_airport,Gorna Oryahovitsa,no,BG-04,BG,Y,2,2-3,Mixed,BOTH,HIGH
93,KPIB,Hattiesburg Laurel Regional Airport,PIB,medium_airport,Moselle,yes,US-MS,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
94,URMN,Nalchik Airport,NAL,medium_airport,Nalchik,yes,RU-KB,RU,Y,1,1,NDB Family,BOTH,HIGH
95,KVNC,Venice Municipal Airport,VNC,small_airport,Venice,no,US-FL,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
96,ZA-0072,Tanda Tula Airport,TDT,small_airport,Timbavati,no,ZA-MP,ZA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
97,OISL,Lar Airport,LRR,medium_airport,Lar,yes,IR-07,IR,Y,2,2-3,Mixed,LO,HIGH
98,KSWF,New York Stewart International Airport,SWF,large_airport,Newburgh,yes,US-NY,US,Y,2,2-3,Mixed,BOTH,MEDIUM
99,LIMJ,Genoa Cristoforo Colombo Airport,GOA,large_airport,Genova (GE),yes,IT-42,IT,Y,3,2-3,Mixed,BOTH,HIGH
100,AYBK,Buka Airport,BUA,medium_airport,Buka Island,yes,PG-NSB,PG,Y,1,1,NDB Family,BOTH,LOW
101,MHRU,Rioamarillo Airport,RUY,small_airport,Copán Ruinas,no,HN-CP,HN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
102,KAYS,Waycross Ware County Airport,AYS,small_airport,Waycross,no,US-GA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
103,HSNH,En Nahud Airport,NUD,small_airport,En Nahud,no,SD-09,SD,N,0,0,No Navaid,UNKNOWN,UNKNOWN
104,KHOT,Memorial Field Airport,HOT,medium_airport,Hot Springs,yes,US-AR,US,Y,2,2-3,Mixed,TERMINAL,MEDIUM
105,RORT,Tarama Airport,TRA,medium_airport,Tarama,yes,JP-47,JP,Y,1,1,Radio Nav,BOTH,HIGH
106,RJSK,Akita Airport,AXT,medium_airport,Akita,yes,JP-05,JP,Y,2,2-3,Radio Nav,BOTH,HIGH
107,HAZ,Hatzfeldhaven Airport,HAZ,small_airport,Hatzfeldhaven,no,PG-MPM,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
108,AYTI,Tapini Airport,TPI,small_airport,Tapini,yes,PG-CPM,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
109,MDLR,Casa De Campo International Airport,LRM,large_airport,La Romana,yes,DO-12,DO,Y,2,2-3,Mixed,LO,HIGH
110,KOWA,Owatonna Degner Regional Airport,OWA,small_airport,Owatonna,no,US-MN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
111,ZBHD,Handan Airport,HDG,medium_airport,Handan,yes,CN-13,CN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
112,MMV,Mal Airport,MMV,small_airport,Mal Island,no,PG-MRL,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
113,UNKNOWN,Fáskrúðsfjörður Airport,FAS,Unknown,Unknown,unknown,UNKNOWN,IS,N,0,0,No Navaid,UNKNOWN,UNKNOWN
114,AYOM,Omora Airport,OSE,small_airport,Omora,no,PG-MPL,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
115,CZFM,Fort Mcpherson Airport,ZFM,small_airport,Fort Mcpherson,yes,CA-NT,CA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
116,EGNT,Newcastle International Airport,NCL,large_airport,"Newcastle upon Tyne, Tyne and Wear",yes,GB-ENG,GB,Y,1,1,Radio Nav,RNAV,HIGH
117,ZUGH,Guanghan Airport,GHN,small_airport,Deyang (Guanghan),no,CN-51,CN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
118,UNKNOWN,Pureni Airport,PUI,Unknown,Unknown,unknown,UNKNOWN,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
119,AYLX,Long Island Airport,LSJ,small_airport,Long Island,no,PG-MPM,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
120,ZBXZ,Xinzhou Wutaishan Airport,WUT,small_airport,Xinzhou,yes,CN-14,CN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
121,OIBL,Bandar Lengeh International Airport,BDH,medium_airport,Bandar Lengeh,yes,IR-22,IR,Y,2,2-3,Mixed,BOTH,HIGH
122,SWEK,Canarana Airport,CQA,small_airport,Canarana,no,BR-MT,BR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
123,VVCM,Cà Mau Airport,CAH,medium_airport,Ca Mau City,yes,VN-SW,VN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
124,VETJ,Tezu Airport,TEI,small_airport,Tezu,no,IN-AR,IN,N,0,0,No Navaid,UNKNOWN,UNKNOWN
125,USDP,Krasnoselkup Airport,KKQ,small_airport,Krasnoselkup,no,RU-YAN,RU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
126,SBMD,Monte Dourado - Serra do Areão Airport,MEU,medium_airport,Almeirim,no,BR-PA,BR,Y,1,1,NDB Family,LO,MEDIUM
127,AYAW,Awaba Airport,AWB,small_airport,Awaba,no,PG-WPD,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
128,SOR,Al Thaurah Airport,SOR,small_airport,T2,no,SY-DY,SY,N,0,0,No Navaid,UNKNOWN,UNKNOWN
129,LRSB,Sibiu International Airport,SBZ,large_airport,Sibiu,yes,RO-SB,RO,Y,1,1,NDB Family,BOTH,HIGH
130,KU55,Panguitch Municipal Airport,PNU,small_airport,Panguitch,no,US-UT,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
131,YCUE,Cue Airport,CUY,small_airport,Unknown,no,AU-WA,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
132,OICI,Ilam Airport,IIL,medium_airport,Ilam,no,IR-16,IR,Y,2,2-3,Mixed,BOTH,HIGH
133,AU-HLV,Helenvale Airport,HLV,small_airport,Helenvale,no,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
134,KDHT,Dalhart Municipal Airport,DHT,medium_airport,Dalhart,no,US-TX,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
