date_key,full_date,day_of_month,month,month_name,quarter,year
0,,0,0,Unknown,,0
1,2022-06-28,28,6,June,Q2,2022
2,2022-12-26,26,12,December,Q4,2022
3,2022-01-18,18,1,January,Q1,2022
4,2022-09-16,16,9,September,Q3,2022
5,2022-02-25,25,2,February,Q1,2022
6,2022-06-10,10,6,June,Q2,2022
7,2022-10-30,30,10,October,Q4,2022
8,2022-04-07,7,4,April,Q2,2022
9,2022-08-20,20,8,August,Q3,2022
10,2022-04-06,6,4,April,Q2,2022
11,2022-05-27,27,5,May,Q2,2022
12,2022-02-06,6,2,February,Q1,2022
13,2022-03-19,19,3,March,Q1,2022
14,2022-03-24,24,3,March,Q1,2022
15,2022-03-07,7,3,March,Q1,2022
16,2022-07-18,18,7,July,Q3,2022
17,2022-09-23,23,9,September,Q3,2022
18,2022-03-29,29,3,March,Q1,2022
19,2022-11-03,3,11,November,Q4,2022
20,2022-09-05,5,9,September,Q3,2022
21,2022-02-19,19,2,February,Q1,2022
22,2022-11-05,5,11,November,Q4,2022
23,2022-08-24,24,8,August,Q3,2022
24,2022-08-06,6,8,August,Q3,2022
25,2022-03-20,20,3,March,Q1,2022
26,2022-10-03,3,10,October,Q4,2022
27,2022-12-05,5,12,December,Q4,2022
28,2022-04-09,9,4,April,Q2,2022
29,2022-04-14,14,4,April,Q2,2022
30,2022-07-22,22,7,July,Q3,2022
31,2022-08-05,5,8,August,Q3,2022
32,2022-03-25,25,3,March,Q1,2022
33,2022-11-23,23,11,November,Q4,2022
34,2022-06-25,25,6,June,Q2,2022
35,2022-12-21,21,12,December,Q4,2022
36,2022-01-11,11,1,January,Q1,2022
37,2022-12-11,11,12,December,Q4,2022
38,2022-12-15,15,12,December,Q4,2022
39,2022-06-16,16,6,June,Q2,2022
40,2022-07-08,8,7,July,Q3,2022
41,2022-05-17,17,5,May,Q2,2022
42,2022-02-21,21,2,February,Q1,2022
43,2022-03-21,21,3,March,Q1,2022
44,2022-11-08,8,11,November,Q4,2022
45,2022-06-22,22,6,June,Q2,2022
46,2022-04-26,26,4,April,Q2,2022
47,2022-03-06,6,3,March,Q1,2022
48,2022-05-13,13,5,May,Q2,2022
49,2022-05-15,15,5,May,Q2,2022
50,2022-12-08,8,12,December,Q4,2022
51,2022-09-22,22,9,September,Q3,2022
52,2022-02-07,7,2,February,Q1,2022
53,2022-07-27,27,7,July,Q3,2022
54,2022-11-24,24,11,November,Q4,2022
55,2022-12-18,18,12,December,Q4,2022
56,2022-04-29,29,4,April,Q2,2022
57,2022-01-31,31,1,January,Q1,2022
58,2022-07-05,5,7,July,Q3,2022
59,2022-07-20,20,7,July,Q3,2022
60,2022-11-10,10,11,November,Q4,2022
61,2022-07-06,6,7,July,Q3,2022
62,2022-10-11,11,10,October,Q4,2022
63,2022-05-25,25,5,May,Q2,2022
64,2022-10-27,27,10,October,Q4,2022
65,2022-10-25,25,10,October,Q4,2022
66,2022-05-02,2,5,May,Q2,2022
67,2022-09-14,14,9,September,Q3,2022
68,2022-11-25,25,11,November,Q4,2022
69,2022-07-15,15,7,July,Q3,2022
70,2022-08-26,26,8,August,Q3,2022
71,2022-02-12,12,2,February,Q1,2022
72,2022-05-19,19,5,May,Q2,2022
73,2022-07-17,17,7,July,Q3,2022
74,2022-11-16,16,11,November,Q4,2022
75,2022-05-07,7,5,May,Q2,2022
76,2022-10-29,29,10,October,Q4,2022
