fact_id,date_key,airport_key,region_key,country_key,passenger_key,flight_status_key,flight_record_count,delayed_flag,cancelled_flag,ontime_flag
1,1,1,1,1,1,1,1,0,0,1
2,2,2,2,2,2,1,1,0,0,1
3,3,3,3,3,3,1,1,0,0,1
4,4,4,4,2,4,2,1,1,0,0
5,5,5,5,1,5,1,1,0,0,1
6,6,6,6,4,6,1,1,0,0,1
7,7,7,0,5,7,3,1,0,1,0
8,8,8,7,4,8,3,1,0,1,0
9,9,9,8,6,9,1,1,0,0,1
10,10,10,9,2,10,1,1,0,0,1
11,11,11,10,7,11,3,1,0,1,0
12,12,12,11,8,12,2,1,1,0,0
13,13,13,12,9,13,2,1,1,0,0
14,14,14,13,10,14,2,1,1,0,0
15,15,15,14,1,15,2,1,1,0,0
16,16,16,15,11,16,3,1,0,1,0
17,17,17,0,12,17,1,1,0,0,1
18,18,18,16,13,18,2,1,1,0,0
19,19,19,17,2,19,3,1,0,1,0
20,20,20,18,13,20,3,1,0,1,0
21,21,21,19,1,21,2,1,1,0,0
22,22,22,4,2,22,3,1,0,1,0
23,23,23,20,14,23,1,1,0,0,1
24,24,24,21,15,24,2,1,1,0,0
25,25,25,22,1,25,3,1,0,1,0
26,21,26,23,16,26,1,1,0,0,1
27,26,27,24,17,27,2,1,1,0,0
28,27,28,1,1,28,2,1,1,0,0
29,28,29,25,18,29,2,1,1,0,0
30,29,30,26,19,30,2,1,1,0,0
31,30,31,27,20,31,2,1,1,0,0
32,31,32,28,2,32,3,1,0,1,0
33,32,33,0,21,33,3,1,0,1,0
34,17,34,29,22,34,2,1,1,0,0
35,33,35,0,1,35,2,1,1,0,0
36,34,36,30,23,36,1,1,0,0,1
37,30,37,28,2,37,2,1,1,0,0
38,35,38,31,23,38,3,1,0,1,0
39,36,39,32,10,39,1,1,0,0,1
40,37,40,33,24,40,2,1,1,0,0
41,38,41,34,10,41,1,1,0,0,1
42,39,42,35,1,42,1,1,0,0,1
43,40,43,36,25,43,2,1,1,0,0
44,41,44,37,1,44,3,1,0,1,0
45,42,45,38,26,45,1,1,0,0,1
46,43,46,5,1,46,1,1,0,0,1
47,44,47,39,1,47,2,1,1,0,0
48,45,48,40,23,48,1,1,0,0,1
49,46,49,41,4,49,2,1,1,0,0
50,47,50,34,10,50,1,1,0,0,1
51,48,51,42,27,51,3,1,0,1,0
52,49,52,4,2,52,3,1,0,1,0
53,50,53,43,1,53,1,1,0,0,1
54,33,54,44,10,54,2,1,1,0,0
55,51,55,45,13,55,1,1,0,0,1
56,52,56,46,1,56,2,1,1,0,0
57,53,57,47,28,57,3,1,0,1,0
58,54,58,44,10,58,2,1,1,0,0
59,55,59,48,17,59,3,1,0,1,0
60,56,60,49,29,60,1,1,0,0,1
61,57,61,28,2,61,3,1,0,1,0
62,58,62,50,1,62,1,1,0,0,1
63,59,63,1,1,63,2,1,1,0,0
64,14,64,51,1,64,3,1,0,1,0
65,60,65,44,10,65,3,1,0,1,0
66,61,66,52,23,66,1,1,0,0,1
67,62,67,53,13,67,3,1,0,1,0
68,63,68,54,30,68,3,1,0,1,0
69,64,69,55,31,69,1,1,0,0,1
70,30,70,56,32,70,2,1,1,0,0
71,65,71,57,16,71,2,1,1,0,0
72,66,72,58,25,72,2,1,1,0,0
73,67,73,0,4,73,1,1,0,0,1
74,68,74,59,33,74,3,1,0,1,0
