"geography_level","geography_name","total_records","delayed_count","cancelled_count","combined_disruption_count","delayed_rate","cancelled_rate","combined_disruption_rate"
"Country","Cape Verde","115","51","34","85","0.4435","0.2957","0.7391"
"Country","Iraq","123","49","40","89","0.3984","0.3252","0.7236"
"Country","Dominican Republic","137","50","49","99","0.3650","0.3577","0.7226"
"Country","Uganda","154","49","62","111","0.3182","0.4026","0.7208"
"Country","Morocco","254","79","104","183","0.3110","0.4094","0.7205"
"Country","Puerto Rico","160","56","59","115","0.3500","0.3688","0.7188"
"Country","Oman","201","75","69","144","0.3731","0.3433","0.7164"
"Country","Nicaragua","143","61","41","102","0.4266","0.2867","0.7133"
"Country","Kenya","424","143","159","302","0.3373","0.3750","0.7123"
"Country","Ecuador","287","94","110","204","0.3275","0.3833","0.7108"
"Region","Occitanie","104","42","38","80","0.4038","0.3654","0.7692"
"Region","Brittany","126","53","43","96","0.4206","0.3413","0.7619"
"Region","Schleswig-Holstein","111","42","42","84","0.3784","0.3784","0.7568"
"Region","Río Negro Province","112","45","39","84","0.4018","0.3482","0.7500"
"Region","Bavaria","138","48","55","103","0.3478","0.3986","0.7464"
"Region","Autonomous Region of Bougainville","129","50","46","96","0.3876","0.3566","0.7442"
"Region","Jiangsu Province","119","36","52","88","0.3025","0.4370","0.7395"
"Region","Balochistan","161","61","58","119","0.3789","0.3602","0.7391"
"Region","Manitoba","428","142","172","314","0.3318","0.4019","0.7336"
"Region","Maryland","163","61","58","119","0.3742","0.3558","0.7301"
