"year","quarter","month","month_name","flight_status","status_count","status_rate"
2022,"Q1",1,"January","On Time","2801","0.3328"
2022,"Q1",1,"January","Delayed","2868","0.3408"
2022,"Q1",1,"January","Cancelled","2747","0.3264"
2022,"Q1",2,"February","On Time","2551","0.3333"
2022,"Q1",2,"February","Delayed","2537","0.3315"
2022,"Q1",2,"February","Cancelled","2565","0.3352"
2022,"Q1",3,"March","On Time","2861","0.3393"
2022,"Q1",3,"March","Delayed","2794","0.3314"
2022,"Q1",3,"March","Cancelled","2776","0.3293"
2022,"Q2",4,"April","On Time","2599","0.3265"
2022,"Q2",4,"April","Delayed","2715","0.3411"
2022,"Q2",4,"April","Cancelled","2645","0.3323"
2022,"Q2",5,"May","On Time","2797","0.3292"
2022,"Q2",5,"May","Delayed","2853","0.3358"
2022,"Q2",5,"May","Cancelled","2846","0.3350"
2022,"Q2",6,"June","On Time","2694","0.3314"
2022,"Q2",6,"June","Delayed","2678","0.3295"
2022,"Q2",6,"June","Cancelled","2756","0.3391"
2022,"Q3",7,"July","On Time","2873","0.3400"
2022,"Q3",7,"July","Delayed","2778","0.3287"
2022,"Q3",7,"July","Cancelled","2800","0.3313"
2022,"Q3",8,"August","On Time","2875","0.3365"
2022,"Q3",8,"August","Delayed","2805","0.3283"
2022,"Q3",8,"August","Cancelled","2864","0.3352"
2022,"Q3",9,"September","On Time","2660","0.3264"
2022,"Q3",9,"September","Delayed","2723","0.3342"
2022,"Q3",9,"September","Cancelled","2766","0.3394"
2022,"Q4",10,"October","On Time","2843","0.3378"
2022,"Q4",10,"October","Delayed","2775","0.3298"
2022,"Q4",10,"October","Cancelled","2797","0.3324"
2022,"Q4",11,"November","On Time","2675","0.3322"
2022,"Q4",11,"November","Delayed","2700","0.3353"
2022,"Q4",11,"November","Cancelled","2678","0.3325"
2022,"Q4",12,"December","On Time","2617","0.3303"
2022,"Q4",12,"December","Delayed","2605","0.3287"
2022,"Q4",12,"December","Cancelled","2702","0.3410"
