"airport_name","total_records","flight_status","status_count","status_rate"
"Monte Carmelo Airport","873","Cancelled","283","0.3242"
"Monte Carmelo Airport","873","Delayed","303","0.3471"
"Monte Carmelo Airport","873","On Time","287","0.3288"
"O.R. Tambo International Airport","37","Cancelled","7","0.1892"
"O.R. Tambo International Airport","37","Delayed","11","0.2973"
"O.R. Tambo International Airport","37","On Time","19","0.5135"
"Böblingen Flugfeld","36","Cancelled","13","0.3611"
"Böblingen Flugfeld","36","Delayed","10","0.2778"
"Böblingen Flugfeld","36","On Time","13","0.3611"
"Santa Ana Airport","35","Cancelled","1","0.0286"
"Santa Ana Airport","35","Cancelled","3","0.0857"
"Santa Ana Airport","35","Cancelled","2","0.0571"
"Santa Ana Airport","35","Delayed","5","0.1429"
"Santa Ana Airport","35","Delayed","3","0.0857"
"Santa Ana Airport","35","Delayed","6","0.1714"
"Santa Ana Airport","35","On Time","4","0.1143"
"Santa Ana Airport","35","On Time","6","0.1714"
"Santa Ana Airport","35","On Time","5","0.1429"
"Las Flores Airport","34","Cancelled","5","0.1471"
"Las Flores Airport","34","Cancelled","5","0.1471"
"Las Flores Airport","34","Delayed","2","0.0588"
"Las Flores Airport","34","Delayed","8","0.2353"
"Las Flores Airport","34","On Time","12","0.3529"
"Las Flores Airport","34","On Time","2","0.0588"
"Queenstown Airport","34","Cancelled","2","0.0588"
"Queenstown Airport","34","Cancelled","3","0.0882"
"Queenstown Airport","34","Cancelled","2","0.0588"
"Queenstown Airport","34","Delayed","5","0.1471"
"Queenstown Airport","34","Delayed","5","0.1471"
"Queenstown Airport","34","Delayed","1","0.0294"
"Queenstown Airport","34","On Time","6","0.1765"
"Queenstown Airport","34","On Time","4","0.1176"
"Queenstown Airport","34","On Time","6","0.1765"
"San Pedro Airport","33","Cancelled","1","0.0303"
"San Pedro Airport","33","Cancelled","1","0.0303"
"San Pedro Airport","33","Cancelled","5","0.1515"
"San Pedro Airport","33","Delayed","4","0.1212"
"San Pedro Airport","33","Delayed","6","0.1818"
"San Pedro Airport","33","Delayed","3","0.0909"
"San Pedro Airport","33","On Time","3","0.0909"
"San Pedro Airport","33","On Time","6","0.1818"
"San Pedro Airport","33","On Time","4","0.1212"
"Maliana Airport","32","Cancelled","12","0.3750"
"Maliana Airport","32","Delayed","8","0.2500"
"Maliana Airport","32","On Time","12","0.3750"
"San Fernando Airport","31","Cancelled","3","0.0968"
"San Fernando Airport","31","Cancelled","6","0.1935"
"San Fernando Airport","31","Cancelled","2","0.0645"
"San Fernando Airport","31","Delayed","1","0.0323"
"San Fernando Airport","31","Delayed","2","0.0645"
"San Fernando Airport","31","Delayed","6","0.1935"
"San Fernando Airport","31","On Time","3","0.0968"
"San Fernando Airport","31","On Time","7","0.2258"
"San Fernando Airport","31","On Time","1","0.0323"
"Santa Maria Airport","30","Cancelled","2","0.0667"
"Santa Maria Airport","30","Cancelled","7","0.2333"
"Santa Maria Airport","30","Cancelled","1","0.0333"
"Santa Maria Airport","30","Delayed","2","0.0667"
"Santa Maria Airport","30","Delayed","7","0.2333"
"Santa Maria Airport","30","Delayed","4","0.1333"
"Santa Maria Airport","30","On Time","5","0.1667"
"Santa Maria Airport","30","On Time","1","0.0333"
"Santa Maria Airport","30","On Time","1","0.0333"
